Year,Grade Level,Gender,Poverty Level,Test,Units,Value
2023,3rd,,,M-STEP,English Language Arts,26.5
2023,4th,,,M-STEP,English Language Arts,27.5
2023,5th,,,M-STEP,English Language Arts,33.9
2023,6th,,,M-STEP,English Language Arts,32.9
2023,7th,,,M-STEP,English Language Arts,38.6
2023,8th,,,M-STEP,English Language Arts,47.6
2023,,,,M-STEP,Math,30.0
2023,3rd,,,M-STEP,Math,33.0
2023,4th,,,M-STEP,Math,34.4
2023,5th,,,M-STEP,Math,25.2
2023,6th,,,M-STEP,Math,25.7
2023,7th,,,M-STEP,Math,28.0
2023,8th,,,M-STEP,Math,33.4
2023,8th,,,PSAT,English Language Arts,47.6
2023,8th,Female,,PSAT,English Language Arts,50.4
2023,8th,Male,,PSAT,English Language Arts,44.8
2023,8th,,Economically Disadvantaged,PSAT,English Language Arts,46.7
2023,8th,,Not Economically Disadvantaged,PSAT,English Language Arts,54.0
2023,8th,,,PSAT,Math,33.4
2023,8th,Female,,PSAT,Math,33.4
2023,8th,Male,,PSAT,Math,33.3
2023,8th,,Economically Disadvantaged,PSAT,Math,32.3
2023,8th,,Not Economically Disadvantaged,PSAT,Math,41.1
