Year,Age,Sex,Race,Education,Employment Status,Geographic Location,Units,Value
2022,,,Native Hawaiian and Other Pacific Islander,,,Urban,Percent by Race ,0
2022,,,Some other race,,,Urban,Percent by Race ,16.3
2022,,,Two or more races ,,,Urban,Percent by Race ,17.6
2022,,,Hispanci or Latino orgin (of any race) ,,,Urban,Percent by Race ,16.2
2022,,,"White alone, not Hispanic or Latino",,,Urban,Percent by Race ,12.9
2022,,,,Less than high school graduate,,Urban,Percent by Education,19.4
2022,,,,High school graduate (includes equivalency) ,,Urban,Percent by Education,13.8
2022,,,,Some college or associates's degree ,,Urban,Percent by Education,12.5
2022,,,,Bachelor's degree or higher,,Urban,Percent by Education,5.6
2022,,,,,"Full-time, year round",Urban,Percent by Employment Status,1.6
2022,,,,,"Less than full time, year round",Urban,Percent by Employment Status,19.4
2022,,,,,Did not work ,Urban,Percent by Employment Status,28.9
2023,,,,,,Urban,,15.3
2023,Under 18,,,,,Urban,Percent by Age,21.2
2023,18 to 64,,,,,Urban,Percent by Age,14.8
2023,65 years and over,,,,,Urban,Percent by Age,7.4
2023,,Male,,,,Urban,Percent by Sex,15.6
2023,,Female,,,,Urban,Percent by Sex,15
2023,,,White,,,Urban,Percent by Race ,12.3
2023,,,Black or African American,,,Urban,Percent by Race ,15.3
2023,,,American Indian and Alaska Native,,,Urban,Percent by Race ,10.5
2023,,,Asian,,,Urban,Percent by Race ,11.8
2023,,,Native Hawaiian and Other Pacific Islander,,,Urban,Percent by Race ,0
2023,,,Some other race,,,Urban,Percent by Race ,18.1
2023,,,Two or more races ,,,Urban,Percent by Race ,18.9
2023,,,Hispanci or Latino orgin (of any race) ,,,Urban,Percent by Race ,16
2023,,,"White alone, not Hispanic or Latino",,,Urban,Percent by Race ,11.7
2023,,,,Less than high school graduate,,Urban,Percent by Education,21.7
2023,,,,High school graduate (includes equivalency) ,,Urban,Percent by Education,13.7
2023,,,,Some college or associates's degree ,,Urban,Percent by Education,12
2023,,,,Bachelor's degree or higher,,Urban,Percent by Education,6.6
2023,,,,,"Full-time, year round",Urban,Percent by Employment Status,1.3
2023,,,,,"Less than full time, year round",Urban,Percent by Employment Status,13.6
2023,,,,,Did not work ,Urban,Percent by Employment Status,32.5
